Date,ULSP,ULSD
04/01/2021,115.39,119.97
11/01/2021,116.14,120.61
18/01/2021,116.93,121.52
25/01/2021,118.1,122.7
01/02/2021,119.14,123.7
08/02/2021,119.67,124.09
15/02/2021,120.53,125.01
22/02/2021,121.27,125.71
01/03/2021,122.17,126.62
08/03/2021,122.94,127.4
15/03/2021,123.9,128.24
22/03/2021,124.57,129.02
29/03/2021,125.13,129.32
05/04/2021,125.24,129.35
12/04/2021,125.4,129.39
19/04/2021,125.48,129.49
26/04/2021,125.8,129.77
03/05/2021,126.09,130
10/05/2021,126.53,130.43
17/05/2021,127.19,131.03
24/05/2021,127.89,131.52
31/05/2021,128.15,131.82
07/06/2021,128.69,132.38
14/06/2021,129.47,133.17
21/06/2021,130.1,133.69
28/06/2021,130.73,134.27
05/07/2021,131.7,134.13
12/07/2021,132.47,135.29
19/07/2021,133.2,135.95
26/07/2021,133.48,136.2
02/08/2021,134.21,136.89
09/08/2021,134.7,137.31
16/08/2021,134.77,136.77
23/08/2021,134.68,137.15
30/08/2021,134.66,137.11
06/09/2021,134.76,137.19
13/09/2021,134.75,137.19
20/09/2021,134.86,137.35
27/09/2021,135.19,137.95
04/10/2021,136.1,139.2
11/10/2021,137.17,140.66
18/10/2021,139.46,143.19
25/10/2021,141.81,145.9
01/11/2021,143.7,147.48
08/11/2021,144.9,148.84
15/11/2021,145.87,149.76
22/11/2021,146.89,150.73
